name,partyChanger,num,isFemale,isIndependent,isAkjol,isSDPK,isCommunist,isAtameken,isAtajurt,isRepublic,isArnamys,isBirbol,isKyrgyzstan,isOnuguu,isRepAtajurt,allParties,sozyv,party,sozyvMisser
Ибраимжанов Болотбек Сапарбаевич,0,78,0,0,0,0,0,0,0,1,0,0,0,0,1,",,,Республика - Ата Журт",6,Республика - Ата Журт,
Ибраимова Эльмира Султановна,0,79,1,0,1,0,0,0,0,0,0,0,0,0,0,",Ак Жол,,",4,Ак Жол,
Измалкова Алла Николаевна,0,98,1,0,0,1,0,0,0,0,0,0,0,0,0,",,СДПК,",5,СДПК,
Икрамов Тазабек Икрамович,0,69,0,0,0,0,0,0,0,0,0,0,0,1,0,",,,Онугуу-Прогресс",6,Онугуу-Прогресс,
Иманалиев Бактыбек Тыбынович,0,76,0,0,1,0,0,0,0,0,0,0,0,0,0,",Ак Жол,,",4,Ак Жол,
Иманалиев Жусуп Умарович,0,54,0,1,0,0,0,0,1,0,0,0,0,0,0,"Самовыдвиженец,,Ата-Журт,",3,Самовыдвиженец,2.0
Иманалиев Жусуп Умарович,0,48,0,1,0,0,0,0,1,0,0,0,0,0,0,"Самовыдвиженец,,Ата-Журт,",5,Ата-Журт,2.0
Иманалиев Каныбек Капашович,1,69,0,1,0,0,0,1,0,0,1,0,0,0,0,"Самовыдвиженец,,Ар-Намыс,Ата Мекен",3,Самовыдвиженец,2.0
Иманалиев Каныбек Капашович,1,20,0,1,0,0,0,1,0,0,1,0,0,0,0,"Самовыдвиженец,,Ар-Намыс,Ата Мекен",5,Ар-Намыс,2.0
Иманалиев Каныбек Капашович,1,2,0,1,0,0,0,1,0,0,1,0,0,0,0,"Самовыдвиженец,,Ар-Намыс,Ата Мекен",6,Ата Мекен,2.0
Иманалиева Айнура Касымбековна,0,60,1,0,1,0,0,0,0,0,0,0,0,0,0,",Ак Жол,,",4,Ак Жол,
Иманалиева Эльмира Сансызбаевна,0,60,1,0,0,0,0,0,1,0,0,0,0,0,0,",,Ата-Журт,",5,Ата-Журт,
Иминов Фархат Ажмуханбетович,0,104,0,0,0,0,0,0,0,1,0,0,0,0,1,",,,Республика - Ата Журт",6,Республика - Ата Журт,
Ирсалиев Рахатбек Молдобекович,0,68,0,1,0,1,0,0,0,0,0,0,0,0,0,"Самовыдвиженец,СДПК,,",3,Самовыдвиженец,1.0
Ирсалиев Рахатбек Молдобекович,0,104,0,1,0,1,0,0,0,0,0,0,0,0,0,"Самовыдвиженец,СДПК,,",4,СДПК,1.0
Исабеков Кубанычбек Сатиндиевич,0,67,0,1,1,0,0,0,0,0,0,0,0,0,0,"Самовыдвиженец,Ак Жол,,",3,Самовыдвиженец,1.0
Исабеков Кубанычбек Сатиндиевич,0,59,0,1,1,0,0,0,0,0,0,0,0,0,0,"Самовыдвиженец,Ак Жол,,",4,Ак Жол,1.0
Исаев Жаныбек Базаркулович,0,33,0,0,0,0,0,0,0,0,0,0,1,0,0,",,,Кыргызстан",6,Кыргызстан,
Исаев Жусупали Калматович,0,102,0,0,0,1,0,0,0,0,0,0,0,0,0,",,СДПК,",5,СДПК,
Исаев Канатбек Кедейканович,1,89,0,0,0,0,0,0,0,1,0,0,1,0,0,",,Республика,Кыргызстан",5,Республика,1.0
Исаев Канатбек Кедейканович,1,40,0,0,0,0,0,0,0,1,0,0,1,0,0,",,Республика,Кыргызстан",6,Кыргызстан,1.0
Исаев Тилектеш Каримович,0,144,0,0,0,1,0,0,0,0,0,0,0,0,0,",,,СДПК",6,СДПК,
Исаева Динара Шертаевна,1,58,1,0,1,0,0,0,1,1,0,0,0,0,1,",Ак Жол,Ата-Журт,Республика - Ата Журт",4,Ак Жол,1.0
Исаева Динара Шертаевна,1,68,1,0,1,0,0,0,1,1,0,0,0,0,1,",Ак Жол,Ата-Журт,Республика - Ата Журт",5,Ата-Журт,1.0
Исаева Динара Шертаевна,1,76,1,0,1,0,0,0,1,1,0,0,0,0,1,",Ак Жол,Ата-Журт,Республика - Ата Журт",6,Республика - Ата Журт,1.0
Исаков Исмаил Исакович,0,115,0,0,0,1,0,0,0,0,0,0,0,0,0,",,СДПК,",5,СДПК,
Исаков Музаффар Ахматходжаевич,0,146,0,0,0,1,0,0,0,0,0,0,0,0,0,",,,СДПК",6,СДПК,
Исаков Эсенгул,0,24,0,0,0,0,0,0,0,0,1,0,0,0,0,",,Ар-Намыс,",5,Ар-Намыс,
Исакунова Таалайкул Базаркуловна,0,49,1,0,0,0,0,0,0,0,0,0,1,0,0,",,,Кыргызстан",6,Кыргызстан,
Исанова Мария Насирдиновна,0,57,1,0,1,0,0,0,0,0,0,0,0,0,0,",Ак Жол,,",4,Ак Жол,
