name,isPartyConstant,partyCount,partyChanger,num,isFemale,isIndependent,isAkjol,isSDPK,isCommunist,isAtameken,isAtajurt,isRepublic,isArnamys,isAlga,isAdilet,isOther,isNodata,isBirbol,isKyrgyzstan,isOnuguu,isRepAtajurt,allParties,sozyv,party,sozyvMisser,idname
Бокоев Кенжебек Сатымкулович,1,2,0,79,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,",,,,Республика,Республика - Ата Журт",5,Республика,1.0,105
Бокоев Кенжебек Сатымкулович,1,2,0,71,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,",,,,Республика,Республика - Ата Журт",6,Республика - Ата Журт,1.0,105
Бокошев Жамгырбек,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Нет данных,,,,,",1,Нет данных,,106
Боромбаева Токтокан Жолуевна,0,1,0,76,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,",Нет данных,,,,",2,Нет данных,,107
Борубаев Алтай Асылканович,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,",Нет данных,,,,",2,Нет данных,,108
Булекбаев Эркин Касымович,0,1,0,60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,",Нет данных,,,,",2,Нет данных,,109
Бурканов Арзыбек Орозматович,0,2,1,19,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,",,Алга Кыргызстан,Ак Жол,,",3,Алга Кыргызстан,1.0,110
Бурканов Арзыбек Орозматович,0,2,1,52,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,",,Алга Кыргызстан,Ак Жол,,",4,Ак Жол,1.0,110
Бурханов Авдикаримходжа Ходжаевич,0,1,0,69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,",,,Ак Жол,,",4,Ак Жол,,111
Васильев Лев Алексеевич,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,",Нет данных,,,,",2,Нет данных,,112
Воробьев Борис Дмитриевич,0,1,0,62,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Нет данных,,,,,",1,Нет данных,,113
Гайпкулов Искандер Торобаевич,0,1,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,",,,,,Ата Мекен",6,Ата Мекен,,114
Гогаев Борис Хамитович,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Нет данных,Нет данных,,,,",1,Нет данных,1.0,115
Гогаев Борис Хамитович,0,2,0,59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Нет данных,Нет данных,,,,",2,Нет данных,1.0,115
Гринько Виктор Михайлович,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Нет данных,,,,,",1,Нет данных,,116
