name,party_I,party_II,party_III,party_IV,party_V,party_VI,partyChanger,isFemale,allParties,partyCount,isPartyConstant
Тюлеев Нариман Ташболотович,,,,,Ата-Журт,,0,0,",,,,Ата-Журт,",1,False
Кангельдиев Азамат Нурказыевич,,,,,Ата-Журт,,0,0,",,,,Ата-Журт,",1,False
Джолдошова Жылдызкан Айтибаевна,,,,,Ата-Журт,,0,1,",,,,Ата-Журт,",1,False
Акназарова Роза Корчубековна,,Самовыдвиженцы,,,Республика,,0,1,",Самовыдвиженцы,,,Республика,",2,False
Аманбаева Урулкан Абдилашимовна,,,,,Республика,,0,1,",,,,Республика,",1,False
Осмонов Малик Калылович,,,,,Республика,,0,0,",,,,Республика,",1,False
Обдунов Элмурат Абдувапович,,,,,Республика,,0,0,",,,,Республика,",1,False
Джумалиева Эльмира Бусурманкуловна,,,,,Республика,,0,1,",,,,Республика,",1,False
Арипов Назарали Турдалиевич,,,,,Республика,,0,0,",,,,Республика,",1,False
Мурашев Нурбек Мурпазылжанович,,,,,Республика,,0,0,",,,,Республика,",1,False
Бекматов Абдыжапар Гапырович,,,,,Республика,,0,0,",,,,Республика,",1,False
Режавалиев Абдулатип Маматасанович,,,,,Республика,,0,0,",,,,Республика,",1,False
Айтматов Куштарбек Суюнбаевич,,,,,Республика,,0,0,",,,,Республика,",1,False
Ниязалиева Дамира Абаскановна,,,,СДПК,СДПК,,0,1,",,,СДПК,СДПК,",2,True
Салымбеков Мамытбай Маткабылович,,,Алга Кыргызстан,,СДПК,,1,0,",,Алга Кыргызстан,,СДПК,",2,False
Орозбаев Мамат,Самовыдвиженцы,,Самовыдвиженцы,,СДПК,,0,0,"Самовыдвиженцы,,Самовыдвиженцы,,СДПК,",3,False
Атамбаев Алмазбек Шаршенович,Самовыдвиженцы,,,,СДПК,,0,0,"Самовыдвиженцы,,,,СДПК,",2,False
Исаков Исмаил Исакович,,Самовыдвиженцы,,,СДПК,,0,0,",Самовыдвиженцы,,,СДПК,",2,False
